               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.025929,            0.026911,           0.0035764,             0.84591,             0.74921,             0.76399,             0.50233,            0.036623,            0.031284,            0.011421,           0.0040105,           0.0040105,           0.0040105
                 123,             0.02298,            0.028209,           0.0037971,             0.84408,             0.72696,             0.76852,              0.5172,            0.035837,            0.031093,            0.011229,            0.003961,            0.003961,            0.003961
                 124,            0.023996,            0.028249,           0.0028679,             0.85481,             0.74921,             0.75692,             0.47907,            0.036349,            0.031185,            0.011507,           0.0039115,           0.0039115,           0.0039115
                 125,            0.025364,            0.027548,           0.0031275,              0.8295,             0.77143,             0.76161,             0.50139,            0.036079,             0.03062,            0.011388,            0.003862,            0.003862,            0.003862
                 126,            0.026198,            0.028029,           0.0033044,             0.85591,             0.77142,             0.76528,             0.49624,            0.036093,             0.03075,            0.011243,           0.0038125,           0.0038125,           0.0038125
                 127,            0.024887,            0.030238,           0.0033404,             0.80974,             0.80952,             0.75239,             0.48825,            0.035087,            0.030545,            0.011352,            0.003763,            0.003763,            0.003763
                 128,            0.025361,             0.02716,           0.0040068,             0.80512,             0.80949,             0.76341,             0.50437,            0.035929,            0.030155,            0.011047,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023553,            0.026433,           0.0035618,             0.82291,             0.79365,             0.75619,             0.50565,            0.035417,             0.02997,            0.011451,            0.003664,            0.003664,            0.003664
                 130,            0.023864,            0.024918,           0.0030494,             0.85467,             0.78468,             0.75939,              0.4975,            0.035369,            0.030151,            0.011556,           0.0036145,           0.0036145,           0.0036145
                 131,            0.024179,            0.026802,           0.0029498,             0.83577,             0.79342,             0.75019,             0.51874,            0.034233,            0.029933,            0.011541,            0.003565,            0.003565,            0.003565
                 132,            0.024891,            0.028673,           0.0045087,              0.8184,             0.80949,             0.75642,             0.50539,            0.035135,            0.029887,            0.011065,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022349,            0.027461,           0.0025244,             0.80393,              0.8093,             0.75002,              0.5139,            0.034458,            0.029766,            0.010859,            0.003466,            0.003466,            0.003466
                 134,            0.022717,            0.028174,            0.003776,             0.81429,             0.80952,             0.75709,             0.50313,             0.03514,            0.029872,            0.010548,           0.0034165,           0.0034165,           0.0034165
                 135,            0.023477,            0.026896,           0.0030279,             0.79629,             0.79356,              0.7438,             0.49982,            0.035189,            0.030218,            0.010298,            0.003367,            0.003367,            0.003367
                 136,            0.023222,            0.028902,           0.0033537,             0.78004,             0.81575,             0.75676,             0.51425,            0.034089,            0.030116,            0.010307,           0.0033175,           0.0033175,           0.0033175
                 137,            0.021972,             0.02445,           0.0027651,             0.76525,              0.8157,             0.76028,             0.51112,            0.034334,            0.030086,            0.010327,            0.003268,            0.003268,            0.003268
                 138,            0.021935,            0.025365,           0.0028539,             0.86987,             0.71746,              0.7421,             0.50993,            0.034012,            0.029942,            0.010613,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021197,            0.026997,           0.0034498,             0.78352,             0.79365,             0.74243,             0.50131,            0.035059,            0.029996,             0.01084,            0.003169,            0.003169,            0.003169
                 140,            0.021807,            0.023656,           0.0025548,             0.83971,             0.75098,             0.73652,             0.48975,            0.035956,             0.03035,             0.01092,           0.0031195,           0.0031195,           0.0031195
                 141,            0.023145,            0.025921,           0.0029374,             0.79972,             0.75477,             0.73488,             0.49086,            0.034474,            0.030127,            0.010761,             0.00307,             0.00307,             0.00307
                 142,            0.022245,            0.027187,           0.0026997,             0.76269,             0.79349,             0.74413,             0.48969,             0.03473,            0.030384,             0.01068,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021791,            0.025316,           0.0027704,             0.78978,             0.79365,             0.75232,             0.49746,            0.035167,            0.030588,            0.010715,            0.002971,            0.002971,            0.002971
